source_id,jurisdiction,regulator,document_type,document_title,instrument_id,url,url_verified,verification_method,file_format,date_published,commencement_date,currency_version_date,legislative_currency,hazard_category,industry_relevance,priority_tier,pre_harmonisation,license_notes,ingestable,ingest_caveat,download_attempted,notes
FED-LEG-001,FED,Safe Work Australia,act,Model Work Health and Safety Act,,https://www.safeworkaustralia.gov.au/doc/model-work-health-and-safety-act,false,search_snippet,PDF,2011,,2025-12,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,Model (TEMPLATE) text maintained by Safe Work Australia. NOT enforceable law in itself — binding only where a jurisdiction separately enacts it. SWA enforces nothing. Underlies the harmonised WHS framework adopted by all AU jurisdictions EXCEPT WA (OSH Act 1984; WA's WHS Act 2020 is a partial/variant adoption); timing/variations differ by jurisdiction. Amendments to the model WHS Act (incl. incident-notification changes) published 5 Dec 2025 — set currency_version_date 2025-12. /doc/ landing blocks automated fetch; confirmed via SWA search snippet.  [gap-review] Model WHS Act — version 5 Dec 2025 (model text; no statutory instrument id).
FED-LEG-002,FED,Safe Work Australia,act,Model Work Health and Safety Legislation Amendment (Incident Notification) 2025,,https://www.safeworkaustralia.gov.au/doc/model-work-health-and-safety-legislation-amendment-incident-notification-2025,false,search_snippet,HTML,,,,VERIFY,GENERAL,ALL,2,n/a,CC-BY-4.0,true,,,Amending instrument behind the 5 Dec 2025 model-Act change; NOT universally in force (applies per jurisdiction on adoption).
FED-REG-001,FED,Safe Work Australia,regulation,Model Work Health and Safety Regulations,,https://www.safeworkaustralia.gov.au/doc/model-whs-regulations,false,search_snippet,PDF,2011,,2025-12,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,"Model (TEMPLATE) text. Amendments to the model WHS laws published by SWA on 5 Dec 2025 — confirmed via SWA news 'Amendments to the model WHS laws published' and the model-whs-laws hub. 2025 amendments: crane HRW licensing (remove encompassment, dogging prerequisite), PPE clarification (reg 44), HRW automatic-refusal timeframe 120->60 days (reg 89), asbestos sample-analysis enforcement (regs 423/479). NOT enforceable until adopted jurisdiction-by-jurisdiction. /doc/ landing blocks automated fetch; confirmed via search snippet.  [gap-review] date_published set to original model Regs year (2011); latest amendment captured in currency_version_date."
FED-COP-001,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Abrasive blasting,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-abrasive-blasting,false,search_snippet,PDF,,,,CURRENT,CHEMICAL,"MANUFACTURING,CONSTRUCTION",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet. Abrasive blasting carries silica/dust exposure -> CHEMICAL.
FED-COP-002,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Confined spaces,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-confined-spaces,false,search_snippet,PDF,,,,CURRENT,CONFINED_SPACES,"MANUFACTURING,CONSTRUCTION",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet.
FED-COP-003,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Construction work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-construction-work,false,search_snippet,PDF,,,,CURRENT,GENERAL,CONSTRUCTION,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet.
FED-COP-004,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Demolition work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-demolition-work,true,direct_fetch,PDF,,,,CURRENT,GENERAL,CONSTRUCTION,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA codes index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
FED-COP-005,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Elevating work platforms,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-elevating-work-platforms,false,search_snippet,PDF,,,,CURRENT,PLANT_EQUIPMENT,"CONSTRUCTION,MANUFACTURING",1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Newer addition (not in the legacy '24' list). URL/slug plausible but not independently re-confirmed in this verification pass — confirm /doc/ slug resolves at build time; flagged in verification_log.
FED-COP-006,FED,Safe Work Australia,code_of_practice,Model Code of Practice: Excavation work,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-excavation-work,false,search_snippet,PDF,,,,CURRENT,GENERAL,CONSTRUCTION,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). URL confirmed via SWA search snippet.
FED-COP-007,FED,Safe Work Australia,code_of_practice,Model Code of Practice: First aid in the workplace,,https://www.safeworkaustralia.gov.au/doc/model-code-practice-first-aid-workplace,true,direct_fetch,PDF,,,,CURRENT,GENERAL,ALL,1,n/a,CC-BY-4.0,true,,,Model code (TEMPLATE). Existence confirmed via SWA index; /doc/ slug follows standard SWA pattern. Site blocks automated fetch.
